ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
068482440X,BEACHCOMBING FOR A SHIPWRECKED GOD,Joe Coomer,1997,Touchstone
1556618662,"The Shunning (Heritage of Lancaster County/Beverly Lewis, 1)",Beverly Lewis,1997,Bethany House Publishers
037570924X,An Equal Music,Vikram Seth,2000,Vintage Books USA
044022392X,The Keys to the Street: A Novel of Suspense,Ruth Rendell,1997,Dell
014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
044922046X,Catering to Nobody,Diane Mott Davidson,1995,Fawcett Books
051511331X,November of the Heart,LaVyrle Spencer,1995,Jove Books
067151699X,The HIDDEN LIFE OF DOGS,Elizabeth Marshall Thomas,1995,Pocket
1551665557,Family Way,Jayne Ann Krentz,1999,Mira
055321330X,The Awakening,Kate Chopin,1985,Bantam
034542705X,The Man Who Listens to Horses,Monty Roberts,1998,Ballantine Books
044020254X,The Empty House,Rosamunde Pilcher,1995,Dell Publishing Company
055358619X,The Bride Hunt,JANE FEATHER,2004,Bantam
055357695X,Out of the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
155166545X,House On Olive Street,Robyn Carr,1999,Mira
067942573X,Taltos: Lives of the Mayfair Witches,Anne Rice,1994,Alfred A. Knopf
078688939X,Dirty Jokes and Beer : Stories of the Unrefined,Drew Carey,1998,Hyperion
034068948X,Does My Bum Look Big in This?,Arabella Weir,1999,Trafalgar Square
8817106100,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
068480154X,TENDER IS THE NIGHT,F. Scott Fitzgerald,1995,Scribner
044022425X,Drums of Autumn,DIANA GABALDON,1997,Dell
1853260363,Don Quixote,Miguel De Cervantes Saavedra,1997,NTC/Contemporary Publishing Company
014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books
076791404X,She's Not There : A Life in Two Genders,JENNIFER FINNEY BOYLAN,2003,Broadway
038070952X,Ramona and Her Mother (Ramona Quimby (Paperback)),Beverly Cleary,1990,HarperTrophy
006001203X,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001,Avon Books
037540256X,A Patchwork Planet,Anne Tyler,1998,Random House Inc
1400042070,The Amateur Marriage: A Novel,ANNE TYLER,2004,Knopf
1401300316,The Center of Everything,Laura Moriarty,2003,Hyperion
043912042X,Esperanza Rising,Pam Munoz Ryan,2002,Scholastic Paperbacks
2070360024,"L'Etranger (Collection Folio, 2)",Albert Camus,1990,Gallimard Jeunesse
074320395X,The Body Artist : A Novel,Don DeLillo,2001,Scribner
006091307X,The Crying of Lot 49: A Novel (Perennial Fiction Library),Thomas Pynchon,1990,Harpercollins
1573223328,"Across the Nightingale Floor (Tales of the Otori, Book One)",Lian Hearn,2003,Riverhead Books
006109398X,The Treasure Box,Orson Scott Card,1997,HarperTorch
156947012X,The Liar,Stephen Fry,1994,Soho Press
157322202X,The Dream of Scipio,Iain Pears,2002,Riverhead Books
037541200X,Blood Canticle (The Vampire Chronicles),ANNE RICE,2003,Knopf
014034294X,Matilda,Roald Dahl,1990,Puffin Books
034538430X,TickTock,Dean R. Koontz,1997,Ballantine Books
1551668637,New Attitude,Charlotte Hughes,2001,Mira
1551666952,The Falls,Karen Harper,2003,Mira
1551668440,Snowfall,Sharon Sala,2001,Mira
1558743316,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,Health Communications
1853260061,Portrait of the Artist As a Young Man (Wordsworth Classics),James Joyce,1997,NTC/Contemporary Publishing Company
068419337X,SHIPPING NEWS,Annie Proulx,1993,Scribner
051513225X,Pendragon,Catherine Coulter,2002,Jove Books
051512088X,Rosehaven,Catherine Coulter,2000,Jove Books
3404142942,Das Jesus Video.,Andreas Eschbach,2000,LÃ?Â¼bbe
1551668122,Night Of The Black Bird,Heather Graham,2001,Mira
1860461670,Miss Smilla's Feeling for Snow,Peter Hoeg,2000,Havill Pr
043942089X,The Thief Lord,Cornelia Funke,2003,Chicken House
1551668254,Road Taken,Rona Jaffe,2001,Mira
055321246X,Walden and Other Writings,HENRY DAVID THOREAU,1983,Bantam
1558747613,"Chicken Soup for the Teenage Soul III : More Stories of Life, Love and Learning (Chicken Soup for the Soul)",Jack Canfield,2000,HCI Teens
1558745718,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications
8806142100,Io Non Ho Paura,Niccolo Ammaniti,2002,Distribooks Inc
067087311X,Icy Sparks,Gwynn Rubio,1998,Viking Books
3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999,Dtv
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,HarperCollins Publishers
1551668432,Texas Ranger,Diana Palmer,2001,Mira
039914840X,Three Fates,Nora Roberts,2002,Putnam Publishing Group
042510107X,Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic
1551667436,Strange Bedpersons,Jennifer Crusie,2003,Mira
075820230X,Chocolate Chip Cookie Murder (Hannah Swensen Mysteries (Paperback)),Joanne Fluke,2001,Kensington Publishing Corporation
055357258X,The Last Suppers,DIANE MOTT DAVIDSON,1995,Crimeline
006098824X,Getting Over It,Anna Maxted,2001,Regan Books
038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
038549730X,The Vine of Desire: A Novel,Chitra Banerjee Divakaruni,2003,Anchor Books/Doubleday
1551665301,Book Club,Mary Alice Monroe,1999,Mira
1588720020,Crossing Over,John Edward,2001,John Edward (HAYLO)
1400060737,The Birth of Venus,Sarah Dunant,2004,Random House
034543739X,Until the Real Thing Comes Along (Ballantine Reader's Circle),ELIZABETH BERG,2000,Ballantine Books
3548359698,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease,2000,Ullstein Tb
042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
038079439X,Expendable,James Alan Gardner,1999,Eos
076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,2002,Broadway
044023574X,After the Fire,Belva Plain,2001,Dell Publishing Company
074321689X,Call Me Crazy : A Memoir (Lisa Drew Books (Hardcover)),Anne Heche,2001,Scribner
082175856X,Sara's Song,Fern Michaels,1998,Zebra Books
1853261580,The Little Prince (Wordsworth Collection),Antoine de Saint-ExupÃ©ry,1998,NTC/Contemporary Publishing Company
1551669021,Like Silk,Mary Lynn Baxter,2002,Mira
044022103X,One True Thing,Anna Quindlen,1995,Dell
2290045764,Extension Du Domain De La Lutte,Michel Houellebecq,2002,European Book Co
042510687X,Outbreak,Robin Cook,1991,Berkley Publishing Group
044018293X,Suffer the Children,John Saul,1986,Dell
055357339X,"Assassin's Apprentice (The Farseer Trilogy, Book 1)",ROBIN HOBB,1996,Bantam
8420634093,El guardiÃ¡n entre el centeno,J. D. Salinger,1978,Alianza Editorial
1583224890,11-Sep,Noam Chomsky,2001,Seven Stories Press
074322423X,Self Matters : Creating Your Life from the Inside Out,Phillip C. McGraw,2001,Free Press
051513595X,The Arraignment,Steve Martini,2003,Jove Pubns
044021680X,Gai-Jin: A Novel of Japan,James Clavell,1994,Dell Publishing Company
067943853X,Of Love And Other Demons,GABRIEL GARCIA MARQUEZ,1995,Knopf
080411868X,"Welcome to the World, Baby Girl!",Fannie Flagg,1999,Ballantine Books
067172262X,Hamlet,William Shakespeare,1992,Washington Square Press
055314300X,Bourne Identity,Robert Ludlum,1966,Bantam Doubleday Dell
1582341400,A Cook's Tour,Anthony Bourdain,2001,Bloomsbury Publishing (NY)
042518045X,Unraveled Sleeve (Needlecraft Mysteries),Monica Ferris,2001,Berkley Publishing Group
140003065X,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA
037582233X,Stargirl,JERRY SPINELLI,2002,Knopf Books for Young Readers
055358068X,The Least Likely Bride,Jane Feather,2000,Bantam
006097673X,Autobiography of a Face,Lucy Grealy,1995,Perennial
037570745X,In the Fall (Vintage Contemporaries (Paperback)),Jeffrey Lent,2001,Vintage Books USA
044011585X,Crossings,DANIELLE STEEL,1987,Dell
042511984X,The Face of Fear,Dean R. Koontz,1996,Berkley Publishing Group
080411109X,The Hundred Secret Senses,Amy Tan,1996,Ivy Books
3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
3442429552,Die Puppenspieler,Tanja Kinkel,0,Goldmann Verlag
3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
051512558X,The Overseer,Jonathan Rabb,1999,Jove Books
1551668084,Storm Warning,Dinah Mccall,2001,Mira
051513306X,The Shape of Snakes,Minette Walters,2002,Jove Books
3404148665,Illuminati.,Dan Brown,2003,LÃ?Â¼bbe
1551666650,Hurricane Bay,Heather Graham,2003,Mira Books
1558745157,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997,Health Communications
034536208X,Fair and Tender Ladies,Lee Smith,1989,Ballantine Books
006050918X,City of the Beasts,Isabel Allende,2002,HarperCollins
037325024X,Out of the Blue (Red Dress Ink (Paperback)),Isabel Wolff,2003,Red Dress Ink
078670621X,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,1999,Carroll &amp; Graf Publishers
1400060117,A Round-Heeled Woman : My Late-Life Adventures in Sex and Romance,JANE JUSKA,2003,Villard
1573222267,Blue Shoe,Anne Lamott,2002,Riverhead Books
1558745017,Chicken Soup for the Christian Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications
157322930X,High Maintenance,Jennifer Belle,2002,Riverhead Books
038073320X,The Gazebo: A Novel,Emily Grayson,2000,Avon
006039384X,Mirror Mirror: A Novel,Gregory Maguire,2003,Regan Books
037576092X,Autobiography of a Fat Bride : True Tales of a Pretend Adulthood,LAURIE NOTARO,2003,Villard
051513452X,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,Jove Books
051513449X,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Jove Books
081257558X,"Winter's Heart (The Wheel of Time, Book 9)",Robert Jordan,2002,Tor Books
055356983X,Anne Frank's Tales from the Secret Annex,Anne Frank,1994,Bantam Books
1860499627,Desert Dawn,Jeanne D'Haem,2003,Virago Press (UK)
034544227X,Just Friends,Robyn Sisman,2002,Ballantine Books
2290311782,Je Voudrais Que Quelqu'un M'Attende Quelque Part,Anna Gavalda,2001,Editions J'Ai Lu
1550544683,Jade Peony,Wayson Choy,1995,Harpercollins Canada
1573229725,Fingersmith,Sarah Waters,2002,Riverhead Books
059056885X,"Attack of the Jack-O'-Lanterns (Goosebumps, 48)",R. L. Stine,1996,Scholastic
1551669323,Crimson Rain,Meg O'Brien,2002,Mira
8807813025,"Novocento, Un Monologo",Alessandro Baricco,2003,Distribooks Inc
1573227889,Tipping the Velvet,Sarah Waters,2000,Riverhead Books
1551665204,Baby Farm,Karen Harper,1999,Mira
038072118X,Where is Joe Merchant?,Jimmy Buffett,1993,Avon
038550117X,Disobedience,Jane Hamilton,2000,Doubleday Books
1400030927,Jennifer Government,MAX BARRY,2004,Vintage
038549744X,English Passengers,Matthew Kneale,2001,Anchor Books/Doubleday
006103018X,Coldheart Canyon,Clive Barker,2002,HarperTorch
087113795X,Peace Like a River,Leif Enger,2001,Grove/Atlantic
1558746226,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
044100914X,Castaways of the Flying Dutchman,Brian Jacques,2002,Ace Books
044016205X,"North and South (North and South Trilogy, Book 1)",John Jakes,1988,Dell Publishing Company
067189109X,The Blessing,Jude Deveraux,1999,Pocket Star
067162461X,LONESOME DOVE  M,Larry McMurtry,1989,Pocket
067166641X,SURRENDER THE PINK : SURRENDER THE PINK,Angela Fisher,1991,Pocket
006440630X,The Midwife's Apprentice (Trophy Newbery),Karen Cushman,1996,HarperTrophy
038542017X,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995,Anchor
038079828X,Petals on the River (Avon Historical Romance),Kathleen E. Woodiwiss,1998,Avon
207038165X,L'Insoutenable Legerete de l'Etre,Milan Kundera,1989,Gallimard French
034541005X,The Power of One,Bryce Courtenay,1992,Ballantine Books
059045370X,"Let's Get Invisible! (Goosebumps, No 6)",R. L. Stine,1995,Scholastic
006104444X,Zen Attitude,Sujata Massey,2000,HarperTorch
8845205118,Il Piccolo Principe Prince Italn,Antoine de Saint-ExupÃ©ry,0,Bompiani Italian
2266104535,Et Si C'Etait Vrai / If This Were Only True,Marc Levy,2001,Pocket
055327449X,The Illustrated Man (Grand Master Editions),RAY BRADBURY,1983,Spectra
006447108X,The Last Battle,C. S. Lewis,1994,HarperCollins
067187098X,For the Roses,Julie Garwood,1996,Pocket
1400030382,The Piano Tuner : A Novel,DANIEL MASON,2003,Vintage
3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1853260231,Frankenstein (Wordsworth Classics),Mary Wollstonecraft Shelley,1997,NTC/Contemporary Publishing Company
3442727952,GefÃ?Â¤hrliche Geliebte.,Haruki Murakami,2002,btb
055358183X,The Bride and the Beast,TERESA MEDEIROS,2001,Bantam
1551660717,Forbidden Fruit,Erica Spindler,1996,Mira
3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
1551669188,Love In Bloom's,Judith Arnold,2002,Mira
1573221937,How to Be Good,Nick Hornby,2001,Riverhead Books
037383599X,Simply Sensual (Harlequin Single Title),Carly Phillips,2004,Harlequin
1551669374,Sisters Found,Joan Johnston,2002,Mira
1551669226,The Hidden Heart,Candace Camp,2002,Mira
1551669234,Stonebrook Cottage,Carla Neggers,2002,Mira
055323336X,God Project,John Saul,1983,Bantam Books
044024126X,Taken,Thomas H. Cook,2002,Dell Publishing Company
067172939X,Dark Angel (Casteel),V.C. Andrews,1990,Pocket
088730866X,The Dilbert Future: Thriving on Stupidity in the 21st Century,Scott Adams,1997,HarperCollins Publishers
067972768X,The Joy Luck Club (Vintage Contemporaries),Amy Tan,1991,Vintage Books USA
1551664348,Montana,Debbie Macomber,1998,Mira
3518366823,Siddhartha,Hermann Hesse,0,Suhrkamp Verlag
051512768X,The Orchid Hunter,Jill Marie Landis,2000,Jove Books
1551667010,The Soul Catcher: A Maggie O'Dell Novel,Alex Kava,2003,Mira
044022330X,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,Island
039304632X,The Voyage of the Narwhal,Andrea Barrett,1998,W W Norton &amp; Co Inc
074341134X,True to Form : A Novel,Elizabeth Berg,2002,Atria
015100692X,The Crimson Petal and the White,Michel Faber,2002,Harcourt
155166884X,Doing Good,Pamela Morsi,2002,Mira Books
039914675X,The Cat Who Went up the Creek,Lilian Jackson Braun,2002,Putnam Adult
059048351X,"A Night in Terror Tower (Goosebumps, No 27)",R. L. Stine,1995,Scholastic
067082982X,The Dark Half,Stephen King,1992,Viking Books
1551660504,Skin Deep,Nora Roberts,1995,Mira
044022473X,Breach of Promise,Perri O'Shaughnessy,1999,Island
1853260207,Jane Eyre (Wordsworth Classics),Charlotte Bronte,1997,NTC/Contemporary Publishing Company
044023655X,Kiss of the Highlander,Karen Marie Moning,2001,Dell Publishing Company
067102096X,Lethal Seduction,Jackie Collins,2001,Pocket
042518286X,Shock,Robin Cook,2002,Berkley Publishing Group
060980877X,The Sweet Potato Queens' Big-Ass Cookbook (and Financial Planner),Jill Conner Browne,2003,Three Rivers Press
1885171080,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,1995,Wildcat Canyon Press
051512219X,Small Town Girl,Lavyrle Spencer,1998,Jove Books
067101417X,High Tide,Jude Deveraux,2000,Pocket
3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
8845247414,Il Piccolo Principe,Antoine De Saint-Exupery,2002,Distribooks Inc
1401300901,"PS, I Love You",Cecelia Ahern,2004,Hyperion
1551667894,Four Seasons,Mary Alice Monroe,2001,Mira
051510521X,Bitter Sweet,LaVyrle Spencer,1995,Jove Books
014100018X,Chocolat,Joanne Harris,2000,Penguin Books
1551667959,7b,Stella Cameron,2001,Mira
067081976X,Leaving Home/a Collection of Lake Wobegon Stories,Garrison Keillor,1987,Penguin USA
226612269X,Ou Es-Tu?,Marc Levy,2003,Distribooks Inc
1573229865,The Dream of Scipio,Iain Pears,2003,Riverhead Books
038075620X,Night Fire,Catherine Coulter,1989,Avon
1573228583,Speaking With the Angel,Nick Hornby,2001,Riverhead Books
006251279X,The Pilgrimage,Paulo Coelho,1995,HarperSanFrancisco
051513628X,Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books
038071907X,Nothing But The Truth: A Documentary Novel,Avi,1993,HarperTrophy
1551668467,Deepest Water,Kate Wilhelm,2001,Mira
038072880X,High Crimes,Joseph Finder,2002,Avon
006109918X,Talking God (Jim Chee Novels),Tony Hillerman,1991,HarperTorch
044900483X,Children of God (Ballantine Readers Circle),Mary Doria Russell,1999,Ballantine Books
042518403X,A Murderous Yarn (Needlecraft Mysteries),Monica Ferris,2002,Berkley Publishing Group
067975833X,Confederates in the Attic : Dispatches from the Unfinished Civil War (Vintage Departures),TONY HORWITZ,1999,Vintage
037325041X,The Solomon Sisters Wise Up (Red Dress Ink),Melissa Senate,2003,Red Dress Ink
1400032644,The Diary of an American Au Pair: A Novel,Marjorie Leet Ford,2003,Anchor Books/Doubleday
055323370X,Emily of New Moon,L.M. MONTGOMERY,1983,Laurel Leaf
044022313X,Black Light,Stephen Hunter,1997,Island
1551668394,Wedding Party,Robyn Carr,2001,Mira
1558747060,"Chicken Soup for the Single's Soul - 101 Stories of Love and Inspiration for the Single, Divorced and Widowed",Jack Canfield,1999,Health Communications
1558746463,Chicken Soup for the Couple's Soul (Chicken Soup for the Soul),Jack Canfield,1999,HCI
1558746099,"Chicken Soup for the Kid's Soul : 101 Stories of Courage, Hope and Laughter (Chicken Soup for the Soul (Paperback Health Communications))",Jack Canfield,1998,HCI
1558744029,Chicken Soup for the Surviving Soul: 101 Healing Stories to Comfort Cancer Patients and Their Loved Ones,Jack Canfield,1996,Health Communications
1558743790,A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
006447187X,Girl Goddess #9 : Nine Stories,Francesca Lia Block,1998,HarperTrophy
038072152X,"Hello Darling, Are You Working?",Rupert Everett,1998,Perennial
1551668157,About That Man,Sherryl Woods,2001,Mira
014027927X,Ralph's Party,Lisa Jewell,1999,Penguin Books Ltd
1565075722,The Power of a Praying Wife,Stormie Omartian,1997,Harvest House Publishers
034531221X,Lincoln,Gore Vidal,1985,Ballantine Books
1576738167,Redeeming Love,Francine Rivers,2001,Multnomah
155166576X,"Dakota Born (Dakota Trilogy, Book 1)",Debbie Macomber,2000,Mira Books
1580082319,How Wal-Mart is Destroying America and The World and What You Can Do About It,Bill Quinn,2000,Ten Speed Press
1576730360,I Kissed Dating Goodbye: A New Attitude Toward Relationships And Romance,Joshua Harris,1997,Multnomah
1551665794,Twelve Across,Barbara Delinsky,2000,Mira
1878448900,Girl in Hyacinth Blue,Susan Vreeland,1999,MacAdam/Cage Publishing
8401491029,Misery,Stephen King,1999,"Plaza &amp; Janes Editores, S.A."
1857027051,Larrys Party,Carol Shields,0,Fourth Estate
155166531X,Tiger Prince,Sandra Brown,1999,Mira
3453146972,Per Anhalter durch die Galaxis.,Douglas Adams,1998,Heyne
067973225X,As I Lay Dying: The Corrected Text (Vintage International),William Faulkner,1990,Vintage Books USA
068482499X,A Moveable Feast,Ernest Hemingway,1996,Scribner
1551668483,North Of Clever,Suzann Ledbetter,2001,Mira
081257639X,"Faith of the Fallen (Sword of Truth, Book 6)",Terry Goodkind,2001,Tor Books
034539092X,The Great Train Robbery,Michael Crichton,1995,Ballantine Books
006109868X,Pigs in Heaven,Barbara Kingsolver,1999,Perennial
067944999X,The Kiss,Kathryn Harrison,1997,Random House Inc
042519485X,Undead and Unwed (Berkley Sensation),Mary Janice Davidson,2004,Berkley Publishing Group
006440031X,The First Four Years (Little House),Laura Ingalls Wilder,1953,HarperTrophy
082177512X,Say No to Joe?,Lori Foster,2003,Zebra Books (Mass Market)
1551668459,Cabin,Carla Neggers,2002,Mira
014017737X,The Pearl,John Steinbeck,2000,Penguin USA (Paper)
1573229628,Prozac Nation: Young and Depressed in America,Elizabeth Wurtzel,2002,Riverhead Books
1551667215,The Book Club,Mary Alice Monroe,2003,Mira
1400045088,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,DOUGLAS ADAMS,2002,Harmony
055328942X,"The Shelters of Stone (Earth's Children, Book 5)",JEAN M. AUEL,2003,Bantam
068480297X,SHOCK WAVE (Dirk Pitt Adventures (Hardcover)),Clive Cussler,1996,Simon &amp; Schuster
1841954608,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,2003,Canongate Books
055356773X,The Cereal Murders,Diane Mott Davidson,1994,Crimeline
067164257X,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987,Pocket
006103004X,Blind Man's Bluff: The Untold Story of American Submarine Espionage,Sherry Sontag,1999,Perennial
055327824X,Of Mice and Men,JOHN STEINBECK,1983,Bantam
1558744592,A 4th Course of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1997,Health Communications
082177462X,Kentucky Sunrise,Fern Michaels,2003,Zebra Books (Mass Market)
015640057X,"Henry and June: From \A Journal of Love\"" -The Unexpurgated Diary of Anais Nin (1931-1932)""",Anais Nin,1990,Harvest Books
1573220485,The Beach,Alex Garland,1997,Putnam Pub Group
044990542X,Tales from Margaritaville: Fictional Facts and Factual Fictions,Jimmy Buffett,1990,Fawcett Books
1573223425,Blue Shoe,Anne Lamott,2003,Riverhead Books
015670160X,Orlando: A Biography,Virginia Woolf,1993,Harcourt
038071843X,Breach of Duty: A J.P. Beaumont Mystery,J.A. Jance,1999,Avon
1573220280,The Cloister Walk,Kathleen Norris,1996,Riverhead Books
034536676X,The World According to Garp,John Irving,1994,Ballantine Books
078688908X,Chain of Evidence,Ridley Pearson,1997,Hyperion
039915180X,Hidden Prey,John Sandford,2004,Putnam Publishing Group
081296814X,Durable Goods : A Novel (Ballantine Reader's Circle),ELIZABETH BERG,2003,Ballantine Books
055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
1551662604,This Matter Of Marriage,Debbie Macomber,1997,Mira
1551667401,Out Of The Dark,Sharon Sala,2003,Mira
006053429X,Couldn't Keep It to Myself : Testimonies from Our Imprisoned Sisters,Wally Lamb,2003,Regan Books
067942525X,Intensity,DEAN KOONTZ,1996,Knopf
067100042X,Silent Night : A Christmas Suspense Story,Mary Higgins Clark,1996,Pocket
006091565X,The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,1997,Quill
034529873X,Moreta: Dragonlady of Pern,Anne McCaffrey,1991,Del Rey Books
042518272X,Truffled Feathers,Nancy Fairbanks,2001,Berkley Publishing Group
1573225312,Native Speaker,Chang-Rae Lee,1996,Riverhead Books
067172942X,Garden of Shadows (Dollanganger),V.C. Andrews,1990,Pocket
044040665X,Beezus and Ramona,Beverly Cleary,1994,Yearling Books
034530456X,Night Mare #06,Piers Anthony,1983,Del Rey Books
034537536X,Show of Evil,William Diehl,1996,Ballantine Books
038072362X,A Superior Death,Nevada Barr,2002,Harper Mass Market Paperbacks
042507160X,Dune (Dune Chronicles (Berkley Paperback)),Frank Herbert,1984,Berkley Publishing Group
044661078X,Passing Through Paradise,Susan Wiggs,2002,Warner Books
1551669412,Hot Shot,Charlotte Hughes,2002,Mira
159184021X,Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,2003,Portfolio Hardcover
1575667223,Blueberry Muffin Murder (Hannah Swensen Mysteries (Paperback)),Joanne Fluke,2003,Kensington Publishing Corporation
1575667215,Strawberry Shortcake Murder: A Hannah Swensen Mystery (Hannah Swensen Mysteries (Paperback)),Joanne Fluke,2002,Kensington Publishing Corporation
038081918X,Getting Lucky (Avon Light Contemporary Romances),Susan Andersen,2003,Avon
1551666189,Manhunting (Mira),Jennifer Crusie,2000,Mira
1551668270,Cold Tea On A Hot Day,Curtiss Matlock,2001,Mira
074342347X,The Wildflowers (omnibus) : Misty--Star--Jade--Cat (Wildflowers (Paperback)),V.C. Andrews,2001,Pocket
8478884955,Harry Potter y la cÃ¡mara secreta,J. K. Rowling,1999,Lectorum Publications
8478884459,Harry Potter y la piedra filosofal,J. K. Rowling,1999,Lectorum Publications
080410946X,Object Lessons,Anna Quindlen,1992,Ivy Books
051511779X,Born in Shame,Nora Roberts,1996,Jove Books
055358264X,Dream Country,Luanne Rice,2002,Bantam Books
037570910X,The Feast of Love (Vintage Contemporaries (Paperback)),Charles Baxter,2001,Vintage Books USA
155166951X,What The Lady Wants,Jennifer Crusie,2002,Mira
074320607X,"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark,2004,Simon &amp; Schuster
1551669455,Deadly Grace,Taylor Smith,2003,Mira Books
014005829X,East of Eden,John Steinbeck,0,Penguin Putnam~trade
059042792X,My Brother Sam Is Dead (Point),James Lincoln Collier,1989,Scholastic Paperbacks
1573220876,About a Boy,Nick Hornby,1998,Riverhead Books
044041833X,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2001,Yearling
037540600X,Horse Heaven,Jane Smiley,2000,Random House Inc
1563890119,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,1993,DC Comics
044900371X,The Orchid Thief (Ballantine Reader's Circle),Susan Orlean,2000,Ballantine Books
055356921X,The Strange Files of Fremont Jones (Fremont Jones Mysteries (Paperback)),Dianne Day,1996,Bantam
006109286X,The Pardon,James Grippando,1995,Avon Books
055357602X,In a Class by Itself,Sandra Brown,2000,Bantam Books
1551662779,Best Of Enemies,Taylor Smith,1997,Mira
055357227X,"The Web (Alex Delaware Series, No. 10)",JONATHAN KELLERMAN,1996,Bantam
055329170X,Time Bomb (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1991,Bantam Books
039914613X,Easy Prey,John Sandford,2000,Putnam Publishing Group
1551664313,Random Acts,Taylor Smith,1998,Mira
1573227358,"The Dark Side of the Light Chasers: Reclaiming Your Power, Creativity, Brilliance, and Dreams",Debbie Ford,1999,Riverhead Books
051511054X,Bygones,LaVyrle Spencer,1996,Jove Books
042514755X,McNally's Trial (Archy McNally Novels (Paperback)),Lawrence Sanders,1995,Berkley Publishing Group
042511872X,Stolen Blessings,Lawrence Sanders,1994,Berkley Publishing Group
042512164X,Capital Crimes,Lawrence Sanders,2000,Berkley Publishing Group
084232920X,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind #6)",Tim Lahaye,1999,Tyndale House Publishers
038075911X,The Black Lyon,Jude Deveraux,1980,Avon
038078405X,Together,Linda L. Miller,2001,HarperTorch
1573229350,Best Friends,Martha Moody,2002,Riverhead Books
080411188X,Defend and Betray (William Monk Novels (Paperback)),Anne Perry,1993,Ivy Books
034541215X,Bimbos of the Death Sun,SHARYN MCCRUMB,1996,Fawcett
1853260282,Emma (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company
038531700X,The Loop: A Novel,Nicholas Evans,1998,Delacorte Press
042518904X,Widow's Walk,Robert B. Parker,2003,Berkley Publishing Group
038072121X,In the Electric Mist with Confederate Dead,James L. Burke,1994,Avon
006109921X,Up Island: A Novel,Anne Rivers Siddons,1998,HarperTorch
